item_number,english,japanese,domain,facet,facet_ja
1,Worry about things,心配性である,N,Anxiety,不安性
2,Fear for the worst,最悪の結果を恐れる,N,Anxiety,不安性
3,Am afraid of many things,様々なものに対して不安である,N,Anxiety,不安性
4,Get stressed out easily,すぐにストレスがたまる,N,Anxiety,不安性
5,Get caught up in my problems,悩みだすと止まらない,N,Anxiety,不安性
6,Am not easily bothered by things,周囲のことにはとらわれない,N,Anxiety,不安性
7,Am relaxed most of the time,いつも落ち着いている,N,Anxiety,不安性
8,Am not easily disturbed by events,行事に気を奪われることが少ない,N,Anxiety,不安性
9,Don't worry about thing that have already happened,過ぎたことは気にしない,N,Anxiety,不安性
10,Adapt easily to new situations,新しい環境にすぐ適応できる,N,Anxiety,不安性
11,Get angry easily,怒りっぽい,N,Anger,怒り
12,Get irritated easily,すぐにイライラする,N,Anger,怒り
13,Get upset easily,すぐにうろたえる,N,Anger,怒り
14,Am often in a bad mood,機嫌が悪いことが多い,N,Anger,怒り
15,Lose my temper,キレやすい,N,Anger,怒り
16,Rarely get irritated,あまりイラつかない,N,Anger,怒り
17,Seldom get mad,めったに怒らない,N,Anger,怒り
18,Am not easily annoyed,簡単にムカつきはしない,N,Anger,怒り
19,Keep my cool,我を見失わない,N,Anger,怒り
20,Rarely complain,めったに文句を言わない,N,Anger,怒り
21,Often feel blue,気分が浮かないことが多い,N,Depression,抑鬱
22,Dislike myself,自分が嫌いだ,N,Depression,抑鬱
23,Am often down in the dumps,気分が沈んでいることが多い,N,Depression,抑鬱
24,Have a low opinion of myself,自分を低く評価する,N,Depression,抑鬱
25,Have frequent mood swings,気分屋である,N,Depression,抑鬱
26,Feel desperate,必死である,N,Depression,抑鬱
27,Feel that my life lacks direction,人生の方向性が足りないと思う,N,Depression,抑鬱
28,Seldom feel blue,めったに落ち込まない,N,Depression,抑鬱
29,Feel comfortable with myself,今の自分で十分である,N,Depression,抑鬱
30,Am very pleased with myself,自分に満足である,N,Depression,抑鬱
31,Am easily intimidated,すぐにくじける,N,Self-consciousness,自意識
32,Am afraid that I will do the wrong thing,間違ったことをしていないか怖い,N,Self-consciousness,自意識
33,Find it difficult to approach others,他人に近づくのが苦手,N,Self-consciousness,自意識
34,Am afraid to draw attention to myself,自分に注目を集めるのが怖い,N,Self-consciousness,自意識
35,Only feel comfortable with friends,友達としか安らげない,N,Self-consciousness,自意識
36,Stumble over my words,言葉をよくかんでしまう,N,Self-consciousness,自意識
37,Am not embarrassed easily,恥ずかしがらない,N,Self-consciousness,自意識
38,Am comfortable in unfamiliar situations,不慣れな場面でも落ち着いている,N,Self-consciousness,自意識
39,Am not bothered by difficult social situations,困難に負けない,N,Self-consciousness,自意識
40,Am able to stand up for myself,自分をしっかり持っている,N,Self-consciousness,自意識
41,Often eat too much,よく食べ過ぎる,N,Immoderation,節度の欠如
42,Don't know why I do some of the things I do,自分の行動に疑問をもってしまう,N,Immoderation,節度の欠如
43,Do things I later regret,自分の行動で後悔することが多い,N,Immoderation,節度の欠如
44,Go on binges,暴飲暴食をしてしまう,N,Immoderation,節度の欠如
45,Love to eat,食べるのが好きである,N,Immoderation,節度の欠如
46,Rarely overindulge,ふざけすぎることはめったに無い,N,Immoderation,節度の欠如
47,Easily resist my temptations,衝動を抑えることができる,N,Immoderation,節度の欠如
48,Am able to control my cravings,欲望を抑えることができる,N,Immoderation,節度の欠如
49,Never spend more than I can afford,払える以上の金額のものには手を出さない,N,Immoderation,節度の欠如
50,Never splurge,自慢したりみせびらかしたりはしない,N,Immoderation,節度の欠如
51,Panic easily,慌てやすい,N,Vulnerability,脆弱性
52,Become overwhelmed by events,行事に困惑される,N,Vulnerability,脆弱性
53,Feel that I'm unable to deal with things,物事の対処が出来ないと思う,N,Vulnerability,脆弱性
54,Can't make up my mind,決断が出来ない,N,Vulnerability,脆弱性
55,Get overwhelmed by emotions,感情に流される,N,Vulnerability,脆弱性
56,Remain calm under pressure,プレッシャーの中でも落ち着いている,N,Vulnerability,脆弱性
57,Can handle complex problems,難問に対応できる,N,Vulnerability,脆弱性
58,Know how to cope,問題の対応ができる,N,Vulnerability,脆弱性
59,Readily overcome setbacks,つまずきを乗り越えられる,N,Vulnerability,脆弱性
60,Am calm even in tense situations,緊迫した場面でも冷静である,N,Vulnerability,脆弱性
61,Make friends easily,友達を作りやすい,E,Friendliness,親しみやすさ
62,Warm up quickly to others,人になじみやすい,E,Friendliness,親しみやすさ
63,Feel comfortable around people,人が周りにいると安心できる,E,Friendliness,親しみやすさ
64,Act comfortably with others,他人と安心して接することができる,E,Friendliness,親しみやすさ
65,Cheer people up,人を励ませる,E,Friendliness,親しみやすさ
66,Am hard to get to know,分かりにくい人である,E,Friendliness,親しみやすさ
67,Often feel uncomfortable around others,人が周りにいると落ち着かない,E,Friendliness,親しみやすさ
68,Avoid contacts with others,人との接触を避ける,E,Friendliness,親しみやすさ
69,Am not really interested in others,あまり他人に興味はない,E,Friendliness,親しみやすさ
70,Keep others at a distance,人と距離を置く,E,Friendliness,親しみやすさ
71,Love large parties,大きなパーティが大好きだ,E,Gregariousness,社交性
72,Talk to a lot of different people at parties,パーティでは色々な人と話す,E,Gregariousness,社交性
73,Enjoy being part of a group,グループの一員であるのが楽しい,E,Gregariousness,社交性
74,Involve others in what I am doing,自分のやることに人を巻き込む,E,Gregariousness,社交性
75,Love surprise parties,不意打ちのパーティが大好きだ,E,Gregariousness,社交性
76,Prefer to be alone,一人が良いと思う,E,Gregariousness,社交性
77,Want to be left alone,ほうっておいて欲しい,E,Gregariousness,社交性
78,Don't like crowded events,人混みの激しい行事は嫌いだ,E,Gregariousness,社交性
79,Avoid crowds,人混みは避ける,E,Gregariousness,社交性
80,Seek quiet,静かな方が良い,E,Gregariousness,社交性
81,Take charge,リーダータイプである,E,Assertiveness,主張性
82,Try to lead others,人を指揮りたがる,E,Assertiveness,主張性
83,Can talk others into doing things,人を何かするように説得できる,E,Assertiveness,主張性
84,Seek to influence others,周りの人に自分の影響を与えたい,E,Assertiveness,主張性
85,Take control of things,指揮をとるのは好きだ,E,Assertiveness,主張性
