id,original,translation,approved,drift_score,validation_score
I0001,Accept apologies easily,謝罪を素直に受け入れる,1,4.00,5.00
I0002,Accept challenging tasks,難しい課題に取り組む,1,5.00,5.00
I0003,Accept others' weaknesses,他者の弱点を受け入れる,1,5.00,5.00
I0004,Accept people as they are,人をありのまま受け入れる,1,5.00,5.00
I0005,Accomplish a lot of work,多くの仕事をこなす,1,4.00,5.00
I0006,Accomplish my work on time,期限内に仕事を終わらせる,1,5.00,5.00
I0007,Acknowledge others' accomplishments,他者の成果を認める,1,5.00,5.00
I0008,Act according to my conscience,良心に従って行動する,1,5.00,5.00
I0009,Act at the expense of others,他者を犠牲にして行動する,1,5.00,4.00
I0010,Act before thinking through the consequences,結果を考えずに行動する,1,5.00,4.00
I0011,Act comfortably with others,他人と気楽に接する,,3.00,5.00
I0012,Act impulsively when something is bothering me,気になることがあると衝動的に行動してしまう,1,4.00,4.00
I0013,Act in a play,演劇に出演する,1,5.00,5.00
I0014,Act like different people in different situations,状況によって異なる自分を演じる,1,4.00,5.00
I0015,Act quickly without thinking,考えずに素早く行動する,1,5.00,5.00
I0016,Act wild and crazy,はめを外して騒ぐ,,3.00,5.00
I0017,Act without consulting others,他人に相談せずに行動する,1,5.00,5.00
I0018,Act without planning,計画を立てずに行動する,1,5.00,5.00
I0019,Act without thinking,考えずに行動する,1,5.00,5.00
I0020,Acted in a play,演劇に出演したことがある,1,4.00,5.00
I0021,Adapt easily to new situations,新しい状況にすぐ適応する,1,5.00,5.00
I0022,Adjust easily,柔軟に対応する,,3.00,5.00
I0023,Admire a really clever scam,巧妙な詐欺の手口に感服する,,4.00,2.00
I0024,Admit when I am wrong,間違いを認める,1,4.00,5.00
I0025,Agree to anything,何でも同意してしまう,1,4.00,4.00
I0026,Allow others to make a fresh start,他者の失敗を水に流す,,3.00,2.00
I0027,Always admit it when I make a mistake,間違えたら必ず認める,1,5.00,4.67
I0028,Always know what I am doing,常に自分が何をしているかわかっている,,5.00,3.00
I0029,Always know why I do things,自分の行動理由を常に把握している,1,5.00,4.67
I0030,Am a bad loser,負けると不機嫌になる,,3.00,5.00
I0031,Am a brave person,勇敢なほうだ,1,4.00,5.00
I0032,Am a cold-hearted person,冷淡なほうだ,,3.00,5.00
I0033,Am a creature of habit,習慣に縛られる,,3.00,4.00
I0034,Am a firm believer in thinking things through,物事を最後まで考え抜くことを強く信じている,,4.00,2.00
I0035,Am a goal-oriented person,目標志向が強い,1,5.00,4.67
I0036,Am a good listener,人の話をよく聞く,1,4.00,5.00
I0037,Am a hard worker,よく働く,1,5.00,5.00
I0038,Am a highly disciplined person,自制心が強い,,3.00,4.67
I0039,Am a law-abiding citizen,法律を守る,1,4.00,5.00
I0040,Am a person whose moods go up and down easily,気分の浮き沈みが激しい,1,4.00,5.00
